0 10 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 180 190 200 210 220 230 240 250 260 270 280 290 300 310 320 330 340 350 360 370 380 390 400 410 420 430 440 450 460 470 480 490 500 510 520 530 540 550 560 570 580 590 600 610 620 630 640 650 660 670 680 690 700 710 720 730 740 750 760 770 780 790 800 810 820 830 840 850 860 870 880 890 900 910 920 930 940 950 960 970 980 
34.4664 3.13646 0.677055 0.201569 0.0813882 0.0414633 0.0218915 0.0141009 0.0103717 0.00512956 0.00359977 0.00344596 0.00211714 0.00137152 0.00132881 0.000918111 0.000486138 0.000576242 0.000408219 0.000348094 0.000279971 0.000254538 0.000203367 0.000213062 0.000196027 0.000158336 0.000125669 0.000116696 0.000117705 6.76072e-05 3.95293e-05 7.41192e-05 4.17772e-05 5.24271e-05 4.94322e-05 3.5015e-05 8.83275e-05 2.61499e-05 4.96183e-06 2.82828e-05 3.13873e-05 1.70816e-05 4.07184e-06 1.16604e-05 7.42814e-06 2.13157e-05 6.80289e-06 9.77927e-06 6.25345e-06 1.20067e-05 5.76796e-06 1.10922e-05 5.33687e-06 7.70885e-06 0 4.77552e-06 4.60796e-06 6.67365e-06 1.28949e-05 4.15503e-06 8.03763e-06 0 3.76573e-06 0 1.76791e-06 6.85736e-06 3.32633e-06 4.84278e-06 3.13495e-06 6.09076e-06 0 0 1.39928e-06 4.0844e-06 1.32516e-06 0 1.25677e-06 1.22456e-06 3.58067e-06 1.16372e-06 1.13498e-06 1.10731e-06 3.24186e-06 2.10979e-06 2.06017e-06 2.01224e-06 1.966e-06 0 0 1.83641e-06 0 0 8.59604e-07 0 1.64722e-06 8.06447e-07 1.57965e-06 0 0 
0 10 20 30 40 50 60 70 80 90 100 110 120 130 140 150 160 170 180 190 200 210 220 230 240 250 260 270 280 290 300 310 320 330 340 350 360 370 380 390 400 410 420 430 440 450 460 470 480 490 500 510 520 530 540 550 560 570 580 590 600 610 620 630 640 650 660 670 680 690 700 710 720 730 740 750 760 770 780 790 800 810 820 830 840 850 860 870 880 890 900 910 920 930 940 950 960 970 980 
48.2592 3.19307 0.67384 0.222079 0.0934415 0.0459231 0.0251377 0.0148948 0.00937846 0.00619598 0.00425628 0.00301975 0.00220145 0.00164253 0.00125027 0.000968435 0.000761732 0.000607355 0.000490182 0.000399953 0.000329563 0.000274 0.00022967 0.000193953 0.000164917 0.000141118 0.000121461 0.000105111 9.14212e-05 7.98898e-05 7.01205e-05 6.18e-05 5.46778e-05 4.85527e-05 4.32618e-05 3.86724e-05 3.46758e-05 3.11824e-05 2.8118e-05 2.5421e-05 2.30397e-05 2.09309e-05 1.90579e-05 1.73898e-05 1.59003e-05 1.45669e-05 1.33704e-05 1.22943e-05 1.13243e-05 1.04481e-05 9.65502e-06 8.93579e-06 8.2823e-06 7.68747e-06 7.14509e-06 6.64972e-06 6.19655e-06 5.78133e-06 5.40031e-06 5.05017e-06 4.72795e-06 4.43103e-06 4.15706e-06 3.90393e-06 3.66979e-06 3.45293e-06 3.25186e-06 3.06522e-06 2.89178e-06 2.73043e-06 2.58018e-06 2.44013e-06 2.30945e-06 2.1874e-06 2.07331e-06 1.96656e-06 1.86659e-06 1.7729e-06 1.68501e-06 1.6025e-06 1.52498e-06 1.45209e-06 1.38351e-06 1.31892e-06 1.25807e-06 1.20068e-06 1.14652e-06 1.09539e-06 1.04708e-06 1.0014e-06 9.58179e-07 9.17269e-07 8.7852e-07 8.41795e-07 8.06969e-07 7.73926e-07 7.42557e-07 7.12761e-07 6.84445e-07 
