81.0,-1.57775e+23,81.0,-1.58016e+23,397209012989.38324
82.0,-1.54569e+23,82.0,-1.54528e+23,393152642112.44977
83.0,-1.50875e+23,83.0,-1.51188e+23,388426312188.0391
84.0,-1.48008e+23,84.0,-1.47889e+23,384718078597.8221
85.0,-1.44482e+23,85.0,-1.4474e+23,380107879423.7236
86.0,-1.41976e+23,86.0,-1.41723e+23,376797027589.12524
87.0,-1.3883e+23,87.0,-1.38765e+23,372598980138.16406
88.0,-1.36002e+23,88.0,-1.35889e+23,368784489912.46906
89.0,-1.33475e+23,89.0,-1.33089e+23,365342305242.63135
90.0,-1.30279e+23,90.0,-1.30374e+23,360941823567.1782
91.0,-1.27755e+23,91.0,-1.27751e+23,357428314491.17175
92.0,-1.25125e+23,92.0,-1.25239e+23,353730123116.47986
93.0,-1.22485e+23,93.0,-1.22791e+23,349978570772.55457
94.0,-1.20241e+23,94.0,-1.20426e+23,346757840574.6581
95.0,-1.18229e+23,95.0,-1.18128e+23,343844441572.0574
96.0,-1.15766e+23,96.0,-1.15876e+23,340244030072.53485
97.0,-1.14183e+23,97.0,-1.13694e+23,337909751265.0382
98.0,-1.11461e+23,98.0,-1.11543e+23,333857754140.89154
99.0,-3.61892e+22,99.0,-1.09478e+23,190234592017.33002
